code,name,qty,cost,rate,thb_price,price
8850430000000,ການິເຍ່ບົວແບບຊອງກາງເວັນ 6 ຊອງ,,,,,50000
8901530000000,ການິເຍ່ສີຍ້ອມຜົມສີນ້ຳຕານ,,,,,36000
8901530000000,ການິເຍ່ສີຍ້ອມຜົມສີນ້ຳຕານ 6ຊອງ,,,,,191000
8992300000000,ການິເຍ່ສີບົວແບບກ່ອງ,,,,,106000
13850,ການິເຍ່ສີເຫຼືອງແບບກ່ອງ,,,,,106000
8994990000000,ການິເຍ່ເມນ ອອຍຄອນໂທຮ,,,,,59000
8992300000000,ການິເຍ່ເມນເທີໂບໄບ,,,,,60000
8850430000000,ການິເຍ່ເຫຼືອງແບບຊອງກາງຄືນ,,,,,13000
8992300000000,ການິເຍ່ເຫຼືອງແບບຊອງກາງຄືນ 6 ຊອງ,,,,,69000
8992300000000,ການິເຍ່ເຫຼືອງແບບຊອງກາງເວັນ,,,,,13000
8850430000000,ການິເຍ່ເຫຼືອງແບບຊອງກາງເວັນ 6 ຊອງ,,,,,48000
8850430000000,ການິເຍ່ແດງແບບຊອງກາງຄືນ,,,,,15000
8994990000000,ການິເຍ່ແດງແບບຊອງກາງຄືນ 6 ຊອງ,,,,,79000
8992300000000,ການິເຍ່ແດງແບບຊອງກາງເວັນ,,,,,13000
8992300000000,ການິເຍ່ແດງແບບຊອງກາງເວັນ 6 ຊອງ,,,,,70000
8850430000000,ການິເຢ່ບົວກາງຄືນໄຮຢາ,,,,,13000
8850430000000,ການິເຢ່ຢູວີສີເຫຼືອງ,,,,,17000
8850430000000,ການິເຢ່ວິຕາມິນຊີ,,,,,19000
8935000000000,ກາວນ້ຳ,,,,,8000
8859510000000,ກາວລາເທັກ,,,,,20000
8935000000000,ກາວແທ່ງ,,,,,10000
8885010000000,ກາເຟຄຣິສບີ້ 45ກັມ,,,,,10000
8859450000000,ກາເຟດາວ 1 ຊອງ,,,,,5000
8859450000000,ກາເຟດາວຂຽວ 1 ຊອງ,,,,,5000
8859450000000,ກາເຟດາວຂຽວ 25 ຊອງ,,,,,85000
8859450000000,ກາເຟດາວທອງ 25 ຊອງ,,,,,90000
8859450000000,ກາເຟດາວແດງ 1 ຊອງ,,,,,5000
8859450000000,ກາເຟດາວແດງ 25 ຊອງ,,,,,90000
8859650000000,ກາເຟລາວ,,,,,75000
8859650000000,ກາເຟລາວ,,,,,75000
8859650000000,ກາເຟລາວຂຽວ,,,,,75000
8850120000000,ກາເຟເນັດ 100 ກັມ,,,,,70000
8850130000000,ກາເຟເນັດ 200 ກັມ,,,,,95000
745604000000,ກາໂຕຮັງເຜີ້ງ 15 ຖົງ,,,,,27000
745604000000,ກາໂຕຮັງເຜີ້ງ 15 ຖົງ,,,,,27000
8850620000000,ກາໂຕະຂຽວ,,,,,8000
8850620000000,ກາໂຕະມ່ວງ,,,,,8000
8850620000000,ກາໂຕະລິນຈີ່,,,,,7000
8850620000000,ກາໂຕະລິນຈີ່ 6ຕຸກ,,,,,33000
12015,ກາໂຕະລິນຈີ່ 8ແພັກ,,,,,247000
8850620000000,ກາໂຕະແຕງໂມ,,,,,7000
8850620000000,ກາໂຕະສະຕໍບໍລີ່ 6ຕຸກ,,,,,33000
12018,ກາໂຕະສະຕໍບໍລີ່ 8ແພັກ,,,,,247000
8850620000000,ກາໂຕະສົ້ມ,,,,,10000
8850620000000,ກາໂຕະສົ້ມ 6ຕຸກ,,,,,35000
8850620000000,ກາໂຕະໝາກໂມ,,,,,7000
8850620000000,ກາໂຕະໝາກໂມ 6ຕຸກ,,,,,35000
8850620000000,ກາໂຕະແຕງໂມ,,,,,7000
12022,ກາໂຕະແຕງໂມ 6ຕຸກ,,,,,33000
12021,ກາໂຕະແຕງໂມ 8ແພັກ,,,,,247000
6938460000000,ກຳມີ້ແຄນດີ້ລົດຫມາກໄມ້,,,,,4000
6938460000000,ກຳມີ້ແຄນດີ້ລົດຫມາກໄມ້ 12 ອັນ,,,,,37000
6910290000000,ກຳມີ້ແຄນດີ້ລົດຫມາກໄມ້ລວມ 12 ອັນ,,,,,37000
6910290000000,ກຳມີ້ແຄນດີ້ລົດຫມາກໄມ້ລວມ 12 ອັນ,,,,,37000
8850430000000,ກຳມີ່ແພນດ້າ,,,,,4000
8859710000000,ກຳມີ່ໂລຂຽວ,,,,,4000
8859710000000,ກຳມີ່ໂລສະຕໍບໍລີ່,,,,,4000
8859710000000,ກຳມີ່ໂລສະຕໍບໍລີ່  12 ຫໍ່,,,,,37000
