barcode,name,qty,ton theun,rate,thb_price,product_price_convert,price_song
8992741904940,ແຮມເບີເກີ 7.5 ກັມ,,1042,,,2000,
8992741942881,ແຮມເບີເກີ 7.5 ກັມ 24ຊອງ,,25000,,,28000,
8852117002079,ແຮັບປີ້ຄັບ,,2513,,,4000,
8852117002086,ແຮັບປີ້ຄັບ 12 ອັນ,,30150,,,37000,
8996001320051,ໂກປິໂກ 40ເມັດ,,12000,,,15000,165000
8996001340905,ໂກປິໂກ້ 6ກ້ອນ,,4000,,,5000,
8996001340912,ໂກປິໂກ້ 6ກ້ອນ /12ແພັກ,,29600,,,37000,
8996001320136,ໂກປິໂກນົມ 40ເມັດ,,12000,,,15000,165000
8852023004174,ໂກ໋ແກ່ 20ບາດ /6 ຫໍ່,,69000,,,73000,
8852023664507,ໂກ໋ແກ່ກະທິ 20ບາດ,,11500,,,73000,
8852023664194,ໂກ໋ແກ່ກຸ້ງ 20ບາດ,,11103,,,15000,
8852023004556,ໂກ໋ແກ່ບາບີຄີວ 20ບາດ,,11103,,,15000,
8852023666211,ໂກ໋ແກ່ວາສະບິ 20ບາດ,,11500,,,15000,
8852023004181,ໂກ໋ແກ່ວາສະບິ 20ບາດ/ 6ຫໍ່,,69000,,,73000,
8852023665382,ໂກ໋ແກ່ໄກ່ 20ບາດ,,11500,,,15000,
8852023664293,ໂກ໋ແກ່ໄກ່ 20ບາດ /6 ຫໍ່,,69000,,,4000,
8850203458007,ໂກ້ໂກ້ຄິດ 5 ບາດ,,2833,,,4000,
8850203458014,ໂກ້ໂກ້ຄິດ 5 ບາດ 12ຫໍ່,,33046,,,37000,
8885013131543,ໂກໂກ້ຈວຍ 100ມລ,,8200,,,10000,77000
8853141824309,ໂຄລ່າ,,2833,,,4000,127000
6925448115441,ໂຄລີ່,,2833,,,4000,127000
8850002029132,ໂຄໂດໂມະ ສີຟ້າ 200 ມລ,,3000,,,35000,
8850002031463,ໂຄໂດໂມະ ສີມ່ວງ 200 ມລ,,3000,,,35000,
8850002031425,ໂຄໂດໂມະ ສີແດງ 200 ມລ,,3000,,,35000,
8850002028388,ໂຄໂດໂມະ ສີແດງ 400 ມລ,,65000,,,70000,
8850002019690,ໂຄໂດໂມະຂຽວ,,48000,,,60000,
8850002035843,ໂຄໂດໂມະບົວ,,4000,,,60000,
8850002035768,ໂຄໂດໂມະຟ້າ,,48000,,,60000,
8850002015258,ໂຄໂດໂມະມ່ວງ40ກັມ,,63500,,,69000,
8850002015241,ໂຄໂດໂມະມ່ວງ40ກັມ,,11000,,,16000,680000
8850002015234,ໂຄໂດໂມະສົ້ມ40ກັມ,,63500,,,69000,
8850002015227,ໂຄໂດໂມະສົ້ມ40ກັມ,,11000,,,16000,
8850002015210,ໂຄໂດໂມະແດງ40ກັມ,,63500,,,69000,
8850002015203,ໂຄໂດໂມະແດງ40ກັມ,,11000,,,16000,
8850144208792,ໂຈ໊ກກ່ອງກຸ້ງ,,10556,,,12000,
8850144208785,ໂຈ໊ກກ່ອງກຸ້ງ 6ກ່ອງ,,63333,,,62000,
8850144208785,ໂຈ໊ກກ່ອງກຸ້ງ 6ກ່ອງ,,63333,,,62000,41000
13973,ໂຈ໊ກກ່ອງປາ,,10556,,,13000,
13971,ໂຈ໊ກກ່ອງປາ  6ແພັກ,,380000,,,390000,
13972,ໂຈ໊ກກ່ອງປາ 6ກ່ອງ,,63333,,,66000,41000
8850144207894,ໂຈ໊ກກ່ອງໝູ,,10556,,,12000,
8850144207887,ໂຈ໊ກກ່ອງໝູ 6ກ່ອງ,,63333,,,62000,
8850144207887,ໂຈ໊ກກ່ອງໝູ 6ກ່ອງ,,63333,,,62000,
8850144207870,ໂຈ໊ກກ່ອງໄກ່ 6ກ່ອງ,,63333,,,60000,
8850144207870,ໂຈ໊ກກ່ອງໄກ່  6ແພັກ,,380000,,,390000,
8850144207870,ໂຈ໊ກກ່ອງໄກ່ 6ກ່ອງ,,63333,,,60000,41000
8850144208822,ໂຈ໊ກຊອງກຸ້ງ,,5448,,,8000,
8850144208808,ໂຈ໊ກຊອງກຸ້ງ 4ຫໍ່,,21792,,,28000,
8850144208808,ໂຈ໊ກຊອງກຸ້ງ 4ຫໍ່,,21792,,,28000,
8850144208112,ໂຈ໊ກຊອງໝູ,,5448,,,8000,
8850144208075,ໂຈ໊ກຊອງໝູ 4ຫໍ່,,21792,,,28000,41000
8850144208075,ໂຈ໊ກຊອງໝູ 4ຫໍ່,,21792,,,28000,
8850144213963,ໂຈ໊ກຊອງໝູສາຫລ່າຍ 1ຊອງ,,5448,,,7000,48000
8850144214038,ໂຈ໊ກຊອງໝູສາຫລ່າຍ 4ຊອງ,,21792,,,25000,
8850277065118,ໂຈໂຕຟາມ 5ບາດ,,2513,,,4000,
88850277065118,ໂຈໂຕຟາມ 5ບາດ 12 ຫໍ່,,30150,,,37000,
8850277003561,ໂຊດາ 1ໄມ້,,1600,,,2000,48000
8850277003622,ໂຊດາ 50ໄມ້,,50400,,,63000,48000
8851123238007,ໂຊດານົມກາຟີ້ເລັກໂຕ,,8375,,,11000,
11955,ໂຊດານົມກາຟີ້ເລັກໂຕ 4ແພັກ,,201000,,,206000,
11956,ໂຊດານົມກາຟີ້ເລັກໂຕ 6ປ໋ອງ,,50250,,,53000,
8850999016863,ໂຊດາມະນາດຕາສິງ,,7083,,,13000,
12150,ໂຊດາມະນາດຕາສິງ 24ປ໋ອງ,,170000,,,175000,
8859313505410,ໂຊດາເສືອ,,8125,,,11080.06,
12101,ໂຊດາເສືອ 24ແກ້ວ,,222000,,,230000,
8851111115037,ໂຊຟີ 16ແຜ່ນເຢັນ,,40000,,,43000,
8851111115020,ໂຊຟີຄູລີ່ງ 23ເຊນ 8ຊີ້ນ 6ຫໍ່,,123950,,,129000,
8851111270019,ໂຊຟີຄູລີ່ງ 16 ຊີ້ນ,,16750,,,20000,
8851111270026,ໂຊຟີຄູລີ່ງ 16 ຊີ້ນ/ 6 ຫໍ່,,100000,,,110000,
8851111115013,ໂຊຟີຄູລີ່ງ 23ເຊນ 8ຊີ້ນ,,20658,,,23000,
8851111115020,ໂຊຟີຄູລີ່ງ 23ເຊນ 8ຊີ້ນ 6ຫໍ່,,123950,,,129000,
6975227860253,ໂດນັດໂລນເລີບັອບ,,2513,,,4000,
6975227860260,ໂດນັດໂລນເລີບັອບ 12 ອັນ,,30150,,,37000,
8851932227544,ໂດບນວດແບບກ່ອງ,,51000,,,60000,
8851932434720,ໂດບນວດແບບຊອງ,,683,,,1500,
12301,ໂດບນວດແບບຊອງ  12ຊອງ,,8200,,,13000,
8851932227513,ໂດບສະແບບກ່ອງ,,51000,,,60000,
8851932434713,ໂດບສະແບບຊອງ,,683,,,1500,
12298,ໂດບສະແບບຊອງ 12ຊອງ,,10000,,,12000,
12297,ໂດບສະແບບຊອງ 5ໂຫຼ,,41000,,,41000,
8850412374969,ໂດປິຄອນສາຫລ່າຍ 5ບາດ,,2513,,,4000,34000
88850412374969,ໂດປິຄອນສາຫລ່າຍ 5ບາດ 12 ຫໍ່,,30150,,,37000,28000
8850203328461,ໂດມິປັອບ ຊັອກໂກແລັດ 12 ຖົງ,,30150,,,37000,
8850203328461,ໂດມິປັອບ ຊັອກໂກແລັດ 12 ຖົງ,,30150,,,37000,
6930559000142,ໂດໂຊະຈີນ,,9600,,,22000,
