code,proname,qty,cost,rate,thb_price,price
ການິເຍ່ຊາຍແອັກໂນໄຟແບບຊອງ 6 ຊອງ,8.85043E+12,,,,,60000
ການິເຍ່ບົວ,8.9923E+12,,,,,13000
ການິເຍ່ບົວບູສເຕີເຊລ້ຳ30xໄຮຢາ,8.85043E+12,,,,,19000
ການິເຍ່ບົວແບບຊອງກາງເວັນ 6 ຊອງ,8.85043E+12,,,,,50000
ການິເຍ່ສີຍ້ອມຜົມສີນ້ຳຕານ,8.90153E+12,,,,,36000
ການິເຍ່ສີຍ້ອມຜົມສີນ້ຳຕານ 6ຊອງ,8.90153E+12,,,,,191000
ການິເຍ່ສີບົວແບບກ່ອງ,8.9923E+12,,,,,106000
ການິເຍ່ສີເຫຼືອງແບບກ່ອງ,13850,,,,,106000
ການິເຍ່ເມນ ອອຍຄອນໂທຮ,8.99499E+12,,,,,59000
ການິເຍ່ເມນເທີໂບໄບ,8.9923E+12,,,,,60000
ການິເຍ່ເຫຼືອງແບບຊອງກາງຄືນ,8.85043E+12,,,,,13000
ການິເຍ່ເຫຼືອງແບບຊອງກາງຄືນ 6 ຊອງ,8.9923E+12,,,,,69000
ການິເຍ່ເຫຼືອງແບບຊອງກາງເວັນ,8.9923E+12,,,,,13000
ການິເຍ່ເຫຼືອງແບບຊອງກາງເວັນ 6 ຊອງ,8.85043E+12,,,,,48000
ການິເຍ່ແດງແບບຊອງກາງຄືນ,8.85043E+12,,,,,15000
ການິເຍ່ແດງແບບຊອງກາງຄືນ 6 ຊອງ,8.99499E+12,,,,,79000
ການິເຍ່ແດງແບບຊອງກາງເວັນ,8.9923E+12,,,,,13000
ການິເຍ່ແດງແບບຊອງກາງເວັນ 6 ຊອງ,8.9923E+12,,,,,70000
ການິເຢ່ບົວກາງຄືນໄຮຢາ,8.85043E+12,,,,,13000
ການິເຢ່ຢູວີສີເຫຼືອງ,8.85043E+12,,,,,17000
ການິເຢ່ວິຕາມິນຊີ,8.85043E+12,,,,,19000
ກາວນ້ຳ,8.935E+12,,,,,8000
ກາວລາເທັກ,8.85951E+12,,,,,20000
ກາວແທ່ງ,8.935E+12,,,,,10000
ກາເຟຄຣິສບີ້ 45ກັມ,8.88501E+12,,,,,10000
ກາເຟດາວ 1 ຊອງ,8.85945E+12,,,,,5000
ກາເຟດາວຂຽວ 1 ຊອງ,8.85945E+12,,,,,5000
ກາເຟດາວຂຽວ 25 ຊອງ,8.85945E+12,,,,,85000
ກາເຟດາວທອງ 25 ຊອງ,8.85945E+12,,,,,90000
ກາເຟດາວແດງ 1 ຊອງ,8.85945E+12,,,,,5000
ກາເຟດາວແດງ 25 ຊອງ,8.85945E+12,,,,,90000
ກາເຟລາວ,8.85965E+12,,,,,75000
ກາເຟລາວ,8.85965E+12,,,,,75000
ກາເຟລາວຂຽວ,8.85965E+12,,,,,75000
ກາເຟເນັດ 100 ກັມ,8.85012E+12,,,,,70000
ກາເຟເນັດ 200 ກັມ,8.85013E+12,,,,,95000
ກາໂຕຮັງເຜີ້ງ 15 ຖົງ,7.45604E+11,,,,,27000
ກາໂຕຮັງເຜີ້ງ 15 ຖົງ,7.45604E+11,,,,,27000
ກາໂຕະຂຽວ,8.85062E+12,,,,,8000
ກາໂຕະມ່ວງ,8.85062E+12,,,,,8000
ກາໂຕະລິນຈີ່,8.85062E+12,,,,,7000
ກາໂຕະລິນຈີ່ 6ຕຸກ,8.85062E+12,,,,,33000
ກາໂຕະລິນຈີ່ 8ແພັກ,12015,,,,,247000
ກາໂຕະແຕງໂມ,8.85062E+12,,,,,7000
ກາໂຕະສະຕໍບໍລີ່ 6ຕຸກ,8.85062E+12,,,,,33000
