barcode,name,qty,ton theun,rate,thb_price,product_price_convert,price_song
188500020328,ແຟັບແຈ໋ວໃຫຍ່ 3000ກັມ/4 ຖົງ,,279000,,,285000,
8801116025794,ຢາສູບເລມອນ 10 ຊອງ,,260000,,,280000,
118473,ໄພ່ Royal 12ຕັບ,,140000,,,160000,
8992772065207,ຊັອບເຟວສະເປສີດຍູງ,,40000,,,45000,
8852047249803,yoyo ສະຕໍບໍລີ່,,3500,,,5000,
123059,ຖອນເງິນສົດ,,2000,,,2000,
8859708306707,Pipp ໝູເດັ້ງ,,3400,,,5000,
123061,ແຜ່ນຕິດແມງວັນ 1 ແຜ່ນ,,500,,,1000,
8857200087162,fasang 1,,3800,,,5000,40200
8938503112079,ໝາກມີ້ 75 ກັມ,,17000,,,25000,28000
123076,ຂະໜົມໂຮງຮຽນ 5 ບາດ,,35000,,,37000,
123091,ປື້ມບິນ,,15000,,,18000,28000
8852047412030,ແອວມອນຊັອກໂກແລັດ,,60000,,,70000,
123106,ແລກຝາm150,,1000,,,1000,
8850718701063,ເລດັ້ງເດີມ 5 ບາດ,,35000,,,40000,
123108,ປຶ້ມໄທ,,15000,,,18000,
123113,ໄພ່ Royal,,18000,,,25000,
123144,603ເຄິ່ງເປົາ 10 ໂລ,,165000,,,170000,
8850157101134,jele linjee,,15000,,,20000,
6931250700263,ຜ້າອານາໄມ 15,,8000,,,10000,
123171,ໂອອໍິຊິໝາກໂມ 4 ແພັກ,,238000,,,245000,
123173,ແພັມເພີດໃຫຍ່ M 74 ຊີ້ນ,,184000,,,188000,
8851111421091,ແພັມເພີດໃຫຍ່ XXL48 ຊີ້ນ,,184000,,,188000,
8851111419425,ແພັມເພີດໃຫຍ່ L62 ຊີ້ນ,,184000,,,188000,
8850424002386,ຄອບຂຽວ 20ບາດ,,34000,,,40000,
123221,ນ້ຳສົ້ມກີນເມດ 6ຕູກ,,37000,,,39000,
123303,ຄອບຟ້າ 20ບາດ 8 ແພັກ,,278000,,,282000,
18859745200164,ໝຶກກູບສີແດງ 12 ຫໍ່,,193000,,,198000,
8850820204520,ເອສບີສາຫລ່າຍ 20ບາດ/3 ຫໍ່,,35000,,,40000,
4897028984742,ຈອນນີ່ມ່ວງ,,12000,,,15000,
123692,ແປ້ງນົວເມັດນ້ອຍ 500 ກັມ / 10 ຖົງ,,297000,,,302000,96000
4897028984759,ຈອນນີ່ມ່ວງ 10 ຊອງ,,103000,,,110000,
123830,ໂດໂຊະຈີນ 10 ແພັກ,,165000,,,175000,
123850,ຍຳຍຳກ່ອງ 6 ແພັກ,,318000,,,320000,
123868,ແປ້ງນົວເມັດນ້ອຍ 250 ກັມ / 5 ຖົງ,,82000,,,84000,
123936,ຊຳເມີບີ້ຶແອັບເປີ້ນແບບລັງ/ 24  ແກ້ວ,,436000,,,445000,
123966,ເສົາກ້ວຍຈອກ,,10000,,,13000,
124075,ເຫຼົ້າຕົ້ມ 1 ລິດ,,40000,,,45000,
8850229103783,ປາກະປ໋ງມົງກຸດ,,95000,,,98000,
8850155002075,ພ້າວກາເຊຍ,,40000,,,42000,
125433,ນ້ຳມັນຫວຽດ 700 ມລ / 12 ຕຸກ,,240000,,,250000,
125437,ນ້ຳມັນອະງຸ້ນ 1ລິດ/ 12 ຕຸກ,,420000,,,426000,
18850180010042,ນ້ຳມັນກຸກ 1ລິດ/12 ຕຸກ,,412000,,,430000,
127365,ກະໂລນີ,,22000,,,25000,
8854698018838,ໂອອິຊິແຕງໂມ 4ແພັກ,,241000,,,250000,
8858891308895,ອິຊິຕັນຂຽວ 500ມລ/24 ຕຸກ,,206000,,,212000,
8858891310522,ເຢັນເຢັນສີເຫຼືອງ 4ແພັກ,,206000,,,212000,
0128850367100020,ກະທິໃຫຍ່ 1ລິດ /12ກ່ອງ,,658000,,,662000,
58850367100014,ກະທິ 250ມລ / 12 ກ່ອງ,,658000,,,662000,
127429,ແລກຝາm150 ເຢັນ,,1000,,,2000,
18850620888286,ນ້ຳປາຢາງໃຫຍ່ 12 ຕູກ,,220000,,,225000,
8850919724557,ແພັກອາຫານ,,11000,,,13000,
127726,ຫົວອາຫານໝູ 30 ກິໂລ JBF 113,,450000,,,460000,
127727,ນ້ຳສາລີ 10ຕຸກ,,90000,,,95000,
8855120003101,ບິກແບງຫົວຫອມ 20 ບາດ,,34000,,,36000,
8850718707713,ຕາວັນສາຫລ່າຍ 20ບາດ,,34000,,,40000,
127814,ປາກະປ໋ອງສາມແມ່ຄົວ 10ແພັກ /100ປ່ອງ,,1268000,,,1275000,
127836,ບິກແບງ 12ແພັກ/ 20ບາດ,,4100000,,,413000,
128202,ເທດໂຕປົນສີ 20ບາດ /3 ແພັກ,,173000,,,175000,
128212,ໝີ່ເກົາຫລີສີບົວ ປົນ ສີເຫຼືອງ 8ແພັກ,,690000,,,710000,
128221,ເກືອກາກຽນ 500ກັມ/10ຖົງ,,70000,,,77000,
128222,ໝູຝອຍ 50 ກັມ/ 4 ກັບ,,118000,,,120000,
128265,ກາເຟດາວແດງ 24ຖົງ,,1980000,,,1990000,
128266,ຕາວັນກຸ້ງກອບ 20ບາດ/,,265000,,,270000,
8850425007113,ປີໂປ້ກັມມີ່ລິນຈີ່,,35000,,,40000,
8852008305487,ໂຄອະລາມາດ 12ຫໍ່,,41000,,,45000,
130991,ໄນໝາກອື,,190000,,,195000,
131101,ເບີດີຊອງ 12 ຖົງ,,728000,,,732000,
131103,ໄຮຢີນປົນກັນ 15 ແພັກ,,394000,,,398000,
131104,ຂະໜົມປົນ 2 ບາດ /12 ແພັກ,,300000,,,303000,
131272,ແມ່ພອຍ 6 ແກ້ວ,,94000,,,96000,
8850284061219,ໄກ່ຍ່າງຂຽວ 5ບາດ,,35000,,,36000,
131917,ເບຍຊ້າງ 24 ປ໋ອງ,,185000,,,195000,
131944,ແປ້ງນົວເມັດນ້ອຍ 500 ກັມ / 5 ຖົງ,,150000,,,151000,
8850157401012,ທາໂກະ 5ບາດ,,35000,,,40000,
8938556923226,ນ້ຳມັນຫວຽດ 700 ມລ,,21000,,,25000,
132193,ໄນໝາກອື 50 ຖົງ,,190000,,,195000,
144357,ນົມພາເລດ 10 ກະປ໋ອງ,,132000,,,134000,
8850718715657,ເລແມັກ 20ບາດ/6 ຖົງ,,70000,,,720000,
8850718714988,ເລກູ້ງເຜົາ 20ບາດ/6 ຖົງ,,62000,,,75000,
8850718714964,ເລຊາວຄີມ 20 ບາດ/6 ຖົງ,,62000,,,75000,
8850718714902,ເລດັ້ງເດີມ 20ບາດ/6 ຖົງ,,70000,,,72000,
144533,ຂະໜົມປົນ 20ບາດ/ 6 ແພັກ,,208000,,,2100000,
