code,name,qty,cost,rate,thb_price,price
8852010400316,??????????,,,,,4000
8851123237062,???????????,,,,,11000
8851123237079,??????????? 10????,,,,,94000
8851123237086,??????????? 3????,,,,,280000
8851123237000,??????????,,,,,12000
8851123237017,?????????? 10????,,,,,94000
11925,?????????? 3????,,,,,260000
8851123237031,?????????,,,,,11000
11931,????????? 3????,,,,,280000
8851123237048,?????????10????,,,,,94000
8850206011025,??????????????????? 12????,,,,,401000
8850206011025,??????????????????? 12????,,,,,401000
8850206010028,?????????????????????????? 12????,,,,,424000
8850206010028,?????????????????????????? 12????,,,,,424000
12387,??????????3??,,,,,60000
12386,??????????8????,,,,,70000
8859513600045,?????????????? 12 ???,,,,,37000
8859513600045,?????????????? 12 ???,,,,,37000
8852047111810,???????? 12 ???,,,,,12000
8850250006770,???????????????????????,,,,,11000
8850250006800,??????????????????????? 6????,,,,,52000
8850250006756,?????????????,,,,,12000
8850250006787,????????????? 6????,,,,,55000
8850250008279,???????????????,,,,,12000
8850250028277,??????????????? 6????,,,,,52000
8850250007838,??????????????,,,,,11000
8850250027836,?????????????? 6????,,,,,55000
8850250008644,???????????????????,,,,,3000
8850250048640,??????????????????? 12???,,,,,22000
8859334370028,?????????????? 12 ???,,,,,37000
8859334370028,?????????????? 12 ???,,,,,37000
8992741945004,??????????,,,,,2000
14188,??????,,,,,16000
14187,?????? 6 ???,,,,,83000
8850348118019,?????????,,,,,30000
8850348118156,????????????,,,,,30000
8851826049016,??????????????????????? 6,,,,,7000
8851826049023,??????????????????????? 6 ???,,,,,40000
8851826049221,??????????????????????? 6 ???,,,,,40000
8851826049214,??????????????????,,,,,7000
8851004918158,??????  5???,,,,,4000
88851004918158,??????  5??? 12 ???,,,,,37000
8853002314857,?????????????????300??,,,,,14000
8853002314826,??????????????????300??,,,,,14000
8851717030154,??????????????????400??,,,,,22000
8851717030185,???????????????????400??,,,,,22000
8851717030116,???????????????????400??,,,,,22000
8851717030130,??????????????????400??,,,,,19000
8851717030161,??????????????????400??,,,,,30000
8851717030192,???????????????????400??,,,,,30000
8851717030123,???????????????????400??,,,,,30000
8851717030147,??????????????????400??,,,,,30000
8851717040221,???????????????90??,,,,,5000
11771,???????????????90??  12????,,,,,150000
8851717049224,???????????????90?? 4????,,,,,15000
8851717040351,???????????????90??,,,,,5000
11779,???????????????90??  12????,,,,,150000
8851717049354,???????????????90?? 4????,,,,,15000
8851717040276,????????????????90??,,,,,4000
11775,????????????????90??  12????,,,,,150000
8851717049279,????????????????90?? 4????,,,,,15000
8851717040207,????????????????90??,,,,,5000
11767,????????????????90??  12????,,,,,150000
8851717049200,????????????????90?? 4????,,,,,15000
11786,???????????????90??,,,,,4000
11783,???????????????90??   12????,,,,,150000
11784,???????????????90?? 4????,,,,,15000
8851717040030,???????????????180?? ????,,,,,8000
18851717040037,???????????????180?? 12????,,,,,258000
8851717049033,???????????????180?? 4????,,,,,25000
8851717040030,???????????????180?? ????,,,,,8000
8853002302038,???????????????180?? ????,,,,,8000
18853002302042,???????????????180?? 12????,,,,,284000
8853002302045,???????????????180?? 4????,,,,,25000
8853002302038,???????????????180?? ????,,,,,8000
