barcode,name,qty,ton theun,product_price_convert
8.86E+12,ກະທິຕຸກໄທລຽວ,,,16000
8.85E+12,ກະທິນ້ອຍ,,,22000
8.85E+12,ກະທິຜົງ,,,13000
8.85E+12,ກະປິ 1 ກິໂລ,,,75000
8.85E+12,ກະປິກຸ້ງໃຫຍ່ 340ກັມ,,,35000
8.85E+12,ກະປິມະນາວ 200ກັມ,,,35000
kapi1*12,ກະປິມະນາວ 75ກັມ 12 ກັບ,,,80000
