code	name	qty	cost	rate	thb_price	price
8851717040023	ດັດຊະມິວໃຫຍ່ສົ້ມ180ມລ ເຢັນ					8000
18851717040020	ດັດຊະມິວໃຫຍ່ສົ້ມ180ມລ 12ແພັກ					258000
8851717049026	ດັດຊະມິວໃຫຍ່ສົ້ມ180ມລ 4ກ່ອງ					25000
8851717040023	ດັດຊະມິວໃຫຍ່ສົ້ມ180ມລ ເຢັນ					8000
8851717040016	ດັດຊະມິວໃຫຍ່ແດງ180ມລ ເຢັນ					8000
18851717040013	ດັດຊະມິວໃຫຍ່ແດງ180ມລ  12ແພັກ					258000
8851717049019	ດັດຊະມິວໃຫຍ່ແດງ180ມລ 4ກ່ອງ					25000
8851717040016	ດັດຊະມິວໃຫຍ່ແດງ180ມລ ເຢັນ					8000
8850535010812	ດັບກິ່ນຫ້ອງນ້ຳ					15000
8851228000387	ດາລີ່					55000
8851228000394	ດາລີ່ແພັກຄູ່					150000
4902430415446	ດາວນີ່ຂຽວອ່ອນ					2000
124902430415450	ດາວນີ່ຂຽວອ່ອນ 12ຊອງ					17000
4902430418218	ດາວນີ່ບົວ					2000
124902430418220	ດາວນີ່ບົວ 12 ຊອງ					17000
4902430706735	ດາວນີ່ຟ້າ					2000
124902430706740	ດາວນີ່ຟ້າ 12ຊອງ					17000
4902430504577	ດາວນີ່ມ່ວງ					2000
4987176077929	ດາວນີ່ມ່ວງ					2000
124902430504580	ດາວນີ່ມ່ວງ 12 ຊອງ					17000
124987176077930	ດາວນີ່ມ່ວງ 12 ຊອງ					17000
4902430276320	ດາວນີ່ແດງ					2000
124902430276320	ດາວນີ່ແດງ 12 ຊອງ					17000
8853002301857	ດີນ່າຂຽວນົມເຂົ້າ180ມລ ເຢັນ					8000
11791	ດີນ່າຂຽວນົມເຂົ້າ180ມລ  12ແພັກ					250000
8853002301864	ດີນ່າຂຽວນົມເຂົ້າ180ມລ 4ກ່ອງ					25000
8853002301857	ດີນ່າຂຽວນົມເຂົ້າ180ມລ ເຢັນ					8000
8853002080066	ດີນ່າງາດຳ180ມລ ເຢັນ					8000
8853002080073	ດີນ່າງາດຳ180ມລ  12ແພັກ					245000
8853002080110	ດີນ່າງາດຳ180ມລ 4ກ່ອງ					25000
8853002080066	ດີນ່າງາດຳ180ມລ ເຢັນ					8000
8853002315717	ດີນ່າດັ້ງເດີມ250ມລ ເຢັນ					11000
11795	ດີນ່າດັ້ງເດີມ250ມລ  6ແພັກ					203000
8853002315724	ດີນ່າດັ້ງເດີມ250ມລ 4ກ່ອງ					35000
8853002315717	ດີນ່າດັ້ງເດີມ250ມລ ເຢັນ					11000
8853002300560	ດີມໍນ້ອຍ90ມລ					5000
11803	ດີມໍນ້ອຍ90ມລ  12ແພັກ					152000
11804	ດີມໍນ້ອຍ90ມລ 4ກ່ອງ					15000
8853002300454	ດີມໍໃຫຍ່180ມລ					8000
28853002300540	ດີມໍໃຫຍ່180ມລ  12ແພັກ					260000
8853002300539	ດີມໍໃຫຍ່180ມລ 4ກ່ອງ					25000
8850952253540	ດີໂດ້ຂຽວ 225ມລ					5000
8850952920350	ດີໂດ້ຂຽວ 6ຈອກ					12000
8850952203552	ດີໂດ້ຈອກຂຽວ					4000
8850952020357	ດີໂດ້ຈອກຂຽວ 6ຈອກ					13000
8850952020357	ດີໂດ້ຈອກຂຽວ 6ຈອກ					13000
8850952510551	ດີໂດ້ຈອກມ່ວງ					4000
8850952016053	ດີໂດ້ຈອກມ່ວງ 12ແພັກ					129000
