barcode,name,qty,ton theun,rate,thb_price,product_price_convert,price_song
8851111142293,ໂຊຟີກາງເວັນ 12ຫໍ່,,59000,,,63000,
8851111300013,ໂຊຟີກາງເວັນ,,5000,,,7000,
28851111115031,ໂຊຟີ 16ແຜ່ນເຢັນ/24 ຫໍ່,,785000,,,790000,
18851111139030,ໂຊຟີກາງຄືນ 12ຊີ້ນ/12ຫໍ່,,498000,,,502000,
8851111139033,ໂຊຟີກາງຄືນ 12ຊີ້ນ,,42000,,,45000,
28851111199055,ໂຊຟີຊາໂຄ 16 ຊີ້ນ/24 ຫໍ່,,905000,,,910000,
8851111199051,ໂຊຟີຊາໂຄ 16 ຊີ້ນ,,42000,,,45000,
28851111198058,ໂຊຟີຊາໂຄກາງຄືນ 14 ຊີ້ນ/24ຫໍ່,,664000,,,668000,
8851111198054,ໂຊຟີຊາໂຄກາງຄືນ 14 ຊີ້ນ,,29000,,,35000,
28851111199031,ໂຊຟີຊາໂຄກາງຄືນ 8 ຊີ້ນ/4 ແພັກ,,498000,,,502000,
8851111199044,ໂຊຟີຊາໂຄກາງຄືນ 8 ຊີ້ນ/1 ແພັກ,,126000,,,130000,
8851111199037,ໂຊຟີຊາໂຄກາງຄືນ 8 ຊີ້ນ,,22000,,,25000,
28851111198010,ໂຊຟີຊາໂຄ 4 ຊີ້ນ/4 ແພັກ,,247000,,,255000,
8851111198023,ໂຊຟີຊາໂຄ 4 ຊີ້ນ/ 1ແພັກ,,62000,,,68000,
8851111198016,ໂຊຟີຊາໂຄ 4 ຊີ້ນ,,12000,,,15000,
8850228011867,ພຽວລິຄຸສົ້ມ 4 ແພັກ,,178000,,,182000,
8850228002872,ພຽວລິຄຸສົ້ມ 6ຕູກ,,46000,,,48000,
8850228002858,ພຽວລິຄຸສົ້ມ,,8000,,,10000,
147441,ລີຈອຍສົ້ມ 5 ໂຫຼ,,36000,,,50000,
147442,ລີຈອຍຟ້າ 5 ໂຫຼ,,38000,,,50000,
147443,ຄາເນຊັນ 5ປ໋ອງ,,84000,,,86000,
147444,ຄາເນຊັນ 10ປ໋ອງ,,170000,,,172000,
8850999023175,ໂຊດາສິງສີບົວໝາກນາວ,,90000,,,13000,
8850424001662,ທະວິນໂກ້ 20ບາດ/3 ຖົງ,,35000,,,37000,
147827,ນົມດັດຊະມິວປົນ 6 ແພັກ,,130000,,,134000,
147828,ດີນ່າປົນ 6 ແພັກ,,129000,,,131000,
147840,ຖົງຢາງດຳ 45*36 /5 ແພັກ,,70000,,,85000,
8858694601049,ແພນດ້າໂຍເຟນ 12ຖົງ,,35000,,,36000,
8859773920037,ຈອກ 7 ອອນອ່ອນ,,15000,,,16000,
148022,ດາວນີ່ 24 ຊອງ,,25000,,,26000,
148023,ດັດຊະມິວນ້ອຍ 6 ແພັກ,,75000,,,79000,
148087,ເຂົ້າພະຍານາກ 13 ຖົງ,,330000,,,333000,
148161,ມີດແຖດ້າມເຫຼືອງ 24ອັນ,,37000,,,40000,
8992741944564,Yupi 2ບາດ ສີມ່ວງ /12ອັນ,,28000,,,30000,115000
8854761184064,ນ້ຳໝາກພ້າວສະບົວ 6 ປ໋ອງ,,41000,,,43000,
148197,ໄມ້ຖຸ່ 1ກີໂລ,,20000,,,24000,
8852742000129,ແຮງເຢີ 10 ຂວດ,,45000,,,50000,
148312,ໝີຈີນກ່ອງແດງອ້າປາກນ້ອຍ 6 ກ່ອງ,,66000,,,68000,
8850358371350,ເບັກກີ່ງໂຊດາ,,25000,,,30000,
8936136163307,ນ້ຳປາຫວຽດ 5000 ມລ,,27000,,,30000,
150707,ນ້ຳປາຫວຽດ 5000 ມລ/8 ຕຸກ,,200000,,,205000,9000
8850157102124,jele ACE 3 ຖົງ,,18000,,,20000,
8850157102681,ເຈເລ່ລິນຈີ່ 3 ຖົງ,,19000,,,20000,
8850157102674,ເຈເລ່ລິນຈີ່,,8000,,,10000,
8850157105569,ເຈເລ່ B + A 3ຖົງ,,18000,,,20000,23000
8850157105552,ເຈເລ່ B +A,,8000,,,10000,
8858718653160,ຮອງພື້ນນາມິ,,20000,,,22000,
150870,ທະວິນໂກ້ 20ບາດ/12 ແພັກ,,285000,,,288000,
8857200086493,ດັບເພີງ 12 ອັນ,,36000,,,37000,
ຖຕຂ,ແປັບຊີ່ນ້ອຍ 480ມລ/6 ຕຸກ,,52000,,,53000,
150934,ລໍລິເອກາງຄືນ 6 ແພັກ,,580000,,,585000,
151213,ນ້ຳໝາກພ້າວສະປາ 4ແພັກ,,168000,,,170000,20000
151214,ໂຈ໊ກຊອງ 12 ແພັກ,,274000,,,278000,
8850250015765,ລົດດີ 60ກັມ/ 10 ຊອງ,,43000,,,48000,
8851876101368,ມ່າມ່າເສັ້ນເລັກນ້ຳຕົກ,,129000,,,132000,
151423,ນ້ຳພ້າວສະບາ 24 ປ່ອງ,,165000,,,170000,
8851004406600,ເທດໂຕກ້າມປູ 5ບາດ/5 ຫໍ່,,33000,,,36000,
8850127003505,ເນສວີຕ້າ,,62000,,,65000,
151636,ໄລປອນເຕີມ 8 ແພັກ,,265000,,,268000,
151637,ໂອວັນຕິນ 12 ແພັກ,,278000,,,281000,
8850250226789,ຍຳຍຳກ່ອງໝູສັບ 6 ແພັກ,,320000,,,325000,
8851876102037,ມ່າມ່າເສັ້ນໃຫຍ່ເຢັນຕາໂຟ 30 ຫໍ່,,129000,,,132000,
152020,ແພນດ້າປິງປິງ 12 ຫໍ່,,35000,,,36000,
8850094403605,ໂລອອນເທຍລ່າ 45 ມລ /6 ກ່ອງ,,121000,,,126000,
152023,ເຂົ້າປູ້ນ 10 ກິໂລ,,230000,,,240000,
152069,ໄນໝາກອຶ 10 ຖົງ,,40000,,,42000,
152070,ໄນໝາກໂມ 10 ຖົງ,,42000,,,44000,
152071,ໄນຕາເວັນແດງ 10 ຖົງ,,70000,,,72000,
152072,ໄນຕາເວັນຂຽວ10 ຖົງ,,66000,,,68000,57000
152090,ໝາກໄມ້ລວມອົບແຫ້ງ 10 ຖົົງ,,145000,,,155000,57000
8859510307367,ນຳຈູສີບົວ 6 ຊອງ,,200000,,,25000,110000
8858977511140,ກັນແດດ 6 ຊອງ,,158000,,,165000,132000
8858977115140,ເຄຍໂນດກັນແດດ,,27000,,,30000,
8859510305455,ດາກ້ອນບັດ 6 ຊອງ,,130000,,,135000,
8859510305431,ດາກັອນບັດ,,23000,,,26000,
8858977000118,ເອັກຕຮ້າມັອຍ 6 ຊອງ,,155000,,,165000,
8858977101006,ເອັກຕ້າມັອຍ,,27000,,,30000,
8859497303970,filler  6 ຊອງ,,128000,,,135000,
8858718653177,ຮອງພື້ນນາມິ 6 ຊອງ,,115000,,,120000,
8850407001887,ສະເປແຂັງແດງ 120 ມລ,,33000,,,38000,
8858694632463,ໄດກ້າ 20ບາດ/3 ຖົງ,,34000,,,36000,
8852052350204,ລວຍເພື່ອນ 10ບາດ/6 ຖົງ,,34000,,,36000,105000
152301,ເບັງເບັງສີແດງ 12 ກັບ,,415000,,,420000,72000
152310,ຫົວອາຫານໄກ່ 440 / 30ກິໂລ,,340000,,,350000,62000
152504,ດິນປັ້ນນ້ຳມັນ 12 ອັນ,,37000,,,40000,
152506,ລູກອົມລວມ 10 ຖົງ,,110000,,,115000,
152508,ຢາຖູແຂ້ວດີເດັ່ນ 5 ຫຼອດ,,55000,,,60000,
8850425000077,ປີໂປນ້ອຍ,,8000,,,9000,48000
152511,ເບັນໂຕະ 20ບາດ/12 ຖົງ,,158000,,,160000,
152513,ຢາຖູແຂ້ວດອກບົວຄູ່ 12 ຫຼອດ,,90000,,,95000,
8852047270081,ເຟມໝີ 12 ຊອງ,,350000,,,37000,
