code,proname,qty,rate,thb_price,price
ຈຳແກ້ວ 1 ແກ້ວ,12137,,,,1000
ຈີນ່າງາດຳ,8855720003839,,,,26400
ຈີນ່ານົມແພະ,8855720003815,,,,26400
ຈີນ່າອາໂວກາໂດ້,8855720014002,,,,450000
ຈີນ່າເມັນທອດຄູລ,8855720014170,,,,450000
ຈີນ່າໂຢເກີດ,8855720003846,,,,26400
ຈີນ່າໃບຂີ້ຮູດ,8855720003785,,,,26400
ຈີນ່າໄຂ່,8855720003792,,,,450000
ຈຸກນົມl 12,8853659001131,,,,170000
ຈຸກນົມl 12,8853659001131,,,,170000
ຈູບີ້ ສະຕໍ 12 ອັນ,8850425004907,,,,37000
ຈູບີ້ ສະຕໍ 12 ອັນ,8850425004907,,,,37000
ຈູບີ້ ໂຄລ່າ,8850425006567,,,,4000
ຈູບີ້ ໂຄລ່າ 12 ອັນ,8850425006574,,,,37000
ຊອບເຟວ,8992772065184,,,,40000
ຊອບເຟວ 12 ກ່ອງ,8992772064255,,,,420000
ຊອບເຟວ 4 ກ່ອງ,8992772064309,,,,143000
ຊັນຊິວ 4ໂຫຼ,25901,,,,40000
ຊັນຊິວຄີມນວດແບບຊອງບົວ,8851932434621,,,,1500
ຊັນຊິວຄີມນວດແບບຊອງບົວ  4ໂຫຼ,0987122,,,,40000
ຊັນຊິວຄີມນວດແບບຊອງບົວ 12ຊອງ,0986,,,,10000
ຊັນຊິວນວດແບບຊອງສົ້ມ,8851932434669,,,,1500
ຊັນຊິວນວດແບບຊອງສົ້ມ 12ຊອງ,08675,,,,10000
ຊັນຊິວນວດແບບຊອງສົ້ມ 5ໂຫຼ,ssoc1*12*5,,,,40000
ຊັນຊິວນວດແບບຊອງເຫຼືອງ,8851932434645,,,,1500
ຊັນຊິວນວດແບບຊອງເຫຼືອງ 12ຊອງ,04575,,,,12000
ຊັນຊິວນວດແບບຊອງເຫຼືອງ 5ໂຫຼ,ssyc1*12*5,,,,40000
ຊັນຊິວຢາສະກ່ອງນ້ອຍມ່ວງ 60ມລ,12314,,,,13000
ຊັນຊິວຢາສະກ່ອງນ້ອຍມ່ວງ 60ມລ 6ຕຸກ,8851932354097,,,,13000
ຊັນຊິວຢາສະກ່ອງນ້ອຍສົ້ມ 60ມລ,12312,,,,13000
ຊັນຊິວຢາສະກ່ອງນ້ອຍສົ້ມ 60ມລ 6ຕຸກ,8851932354110,,,,68000
ຊັນຊິວຢາສະແບບກ່ອງຂຽວ 400ມລ,8851932353861,,,,52000
ຊັນຊິວຢາສະແບບກ່ອງບົວ400ມລ,8851932353830,,,,55000
ຊັນຊິວຢາສະແບບກ່ອງບົວ400ມລ 12ຕຸກ,12303,,,,562000
ຊັນຊິວຢາສະແບບກ່ອງມ່ວງ 400ມລ,8851932354912,,,,52000
ຊັນຊິວຢາສະແບບກ່ອງສົ້ມ 400ມລ,8851932353854,,,,52000
ຊັນຊິວຢາສະແບບກ່ອງສົ້ມ 400ມລ  12ຕຸກ,12309,,,,562000
ຊັນຊິວຢາສະແບບກ່ອງເຫຼືອງ400ມລ,8851932353823,,,,50000
ຊັນຊິວຢາສະແບບກ່ອງເຫຼືອງ400ມລ  12ຕຸກ,12305,,,,562000
ຊັນຊິວຢາສະແບບຊອງບົວ,8851932434614,,,,1500
ຊັນຊິວຢາສະແບບຊອງບົວ 12ຊອງ,1*128851932434614,,,,12000
ຊັນຊິວຢາສະແບບຊອງບົວ 5ໂຫຼ,12246,,,,40000
ຊັນຊິວຢາສະແບບຊອງບົວ10ແພັກ,12245,,,,360000
ຊັນຊິວຢາສະແບບຊອງບົວ10ແພັກ,13852,,,,360000
ຊັນຊິວຢາສະແບບຊອງສົ້ມ,8851932434652,,,,1500
ຊັນຊິວຢາສະແບບຊອງສົ້ມ 10ແພັກ,12253,,,,360000
ຊັນຊິວຢາສະແບບຊອງສົ້ມ 12ຊອງ,1*128851932434652,,,,10000
ຊັນຊິວຢາສະແບບຊອງສົ້ມ 5ໂຫຼ,5*128851932434652,,,,40000
ຊັນຊິວຢາສະແບບຊອງເຫຼືອງ,8851932434638,,,,1100
ຊັນຊິວຢາສະແບບຊອງເຫຼືອງ  12ຊອງ,12251,,,,10000
ຊັນຊິວຢາສະແບບຊອງເຫຼືອງ 10ແພັກ,12249,,,,36000
ຊັນຊິວຢາສະແບບຊອງເຫຼືອງ 5ໂຫຼ,12250,,,,40000
ຊັນຊິວຢາສະແບບນ້ອຍບົວ60ມລ,12316,,,,13000
ຊັນຊິວຢາສະແບບນ້ອຍບົວ60ມລ  6ຕຸກ,8851932354080,,,,68000
ຊັນໄບຊາວຄີມ 20ບາດ,8850718816194,,,,15000
ຊັນໄບດັ້ງເດີມ 20ບາດ,8850718805365,,,,15000
ຊັນໄລຂາວແບບເຕີມ 500 ມລ,8851932388672,,,,12000
ຊັນໄລເຫຼືອງຕຸກ 150 ມລ,8851932371025,,,,7000
ຊັນໄລເຫຼືອງຕຸກ 150 ມລ 6  ຕຸກ,8851932371094,,,,34000
ຊັນໄລເຫຼືອງຕຸກ 750 ມລ 3  ຕຸກ,8851932398954,,,,62000
ຊັນໄລເຫຼືອງຕຸກ 750 ມລ 3  ຕຸກ,8851932398954,,,,62000
ຊັນໄລເຫຼືອງແບບເຕີມ 500 ມລ,8851932187428,,,,12000
ຊັອກກີ້ ຊັອກກີ້,8996001375242,,,,5000
ຊັອກກີ້ ຊັອກກີ້ 12 ຫໍ່,8996001375259,,,,37000
ຊັອກບອລຫິນລະເບີດ,8856548024563,,,,4000
ຊັອກບອລຫິນລະເບີດ 12 ຫໍ່,8856548024532,,,,37000
ຊັອກໝາກເລັ່ນ,8850511321673,,,,28000
ຊັອກໂກກັບກາງ,8851932366892,,,,25000
ຊັອກໂກບາ,8859708300040,,,,4000
ຊັອກໂກບາ 12ຖົງ,8859708300057,,,,37000
ຊັອກໂກພາຍໃສ້ຄີມ,8850425003948,,,,4000
ຊັອກໂກພາຍໃສ້ຄີມ 12 ກ້ອນ,8850425003955,,,,37000
ຊັອກໂກພາຍໃສ້ສະຕໍບໍລີ່,8850425007274,,,,4000
ຊັອກໂກພາຍໃສ້ສະຕໍບໍລີ່ 12 ກ້ອນ,8850425007281,,,,37000
ຊັອກໂກມິວ,8854458009564,,,,4000
ຊັອກໂກມິວ 12 ອັນ,8854458005900,,,,37000
ຊັອກໂກສະໂຕນບູມບູມໂຄລ່າ,8856548024556,,,,4000
ຊັອກໂກສະໂຕນບູມບູມໂຄລ່າ 12 ຖົງ,8856548024549,,,,37000
ຊັອກໂກສີເຫຼືອງ   2 ບາດ,8936080650281,,,,15000
ຊັອກໂກແລັດ,885013131123,,,,10000
ຊັອກໂກແລັດຊັນເດ 100ມລ,8885013130706,,,,8000
ຊັອກໂກແລັດສະຕໍວານິລາ,8851932348188,,,,35000
ຊັອກໂກແລັດເຜືອກ 50ກັມ,888501313112̦3,,,,9000
ຊັອດຫອຍລວມລົດ,8851008000866,,,,27000
ຊັອດຫອຍແມ່ຄົວ  600 ml,8850038400035,,,,38000
ຊັອດຫອຍແມ່ຄົວນ້ອຍ 150ມລ,8850038400011,,,,20000
ຊັອດຫອຍແມັກກີ້,8850124000675,,,,29000
ຊັອບເຟວໂລຊັ່ນ,8992772065023,,,,38000
ຊັອບເຟວໂລຊັ່ນສີສົ້ມ,8992772065085,,,,35000
ຊ້າງນ້ອຍບາບີຄິວ,8850250008132,,,,3000
ຊ້າງນ້ອຍບາບີຄິວ 12ຫໍ່,8850250048138,,,,22000
ຊ້າງນ້ອຍບາບີຄິວ 5 ແພັກ/60ຫໍ່,8850250058137,,,,115000
ຊ້າງນ້ອຍສາລີ,8850250008125,,,,3000
ຊ້າງນ້ອຍສາລີ 12 ຫໍ່,8850250048121,,,,22000
ຊ້າງນ້ອຍສາລີ 5 ແພັກ/60ຫໍ່,8850250058120,,,,115000
ຊ້າງນ້ອຍສາຫລ່າຍ 5 ແພັກ/60ຫໍ່,8850250058649,,,,115000
ຊ້າງນ້ອຍເລມອນ,8850250008149,,,,3000
ຊ້າງນ້ອຍເລມອນ 12ຫໍ່,8850250048145,,,,22000
ຊ້າງນ້ອຍເລມອນ 5 ແພັກ/60ຫໍ່,8850250058144,,,,1005000
ຊ້າງສະອາດ 750 ມລ,8816882022168,,,,22000
ຊ້າງສະອາດ 750 ມລ 3  ຕຸກ,8816880202166,,,,62000
ຊາຈີນແດງ,6956367338680,,,,13000
ຊາໄຂ່ມຸກ 70ມລ,8885013131680,,,,10000
ຊຳເມີສບີ້ແກ້ວຫມາກໂມ 24ແກ້ວ,12115,,,,355000
ຊຳເມີສບີ້ແກ້ວແອັບເປີ້ນ,8859313503065,,,,22000
ຊຳເມີສບີ້ແກ້ວແອັບເປີ້ນ 24ແກ້ວ,18859313503062,,,,445000
ຊຳເມີສະບີ້ປ໋ອງນ້ອຍ,8859313502297,,,,16000
ຊຳເມີສະບີ້ແກ້ວບູເບີລີ່,8859313504017,,,,20000
ຊຳເມີສະບີ້ແກ້ວບູເບີລີ່ 24ແກ້ວ,18859313504014,,,,435000
ຊຳເມີສະບີ້ແກ້ວຫມາກໂມ,8859313505076,,,,20000
ຊຳເມີສະບີ້ແອັບເປີ້ນປ໋ອງນ້ອຍ 24ປ໋ອງ,188593,,,,294000
ຊິດຕ້າຂຽວ 320ມລ,8851932387798,,,,50000
ຊິດຕ້າບົວ,8851932391221,,,,30000
ຊິດຕ້າບົວໄຂ່ມູກ320ມລ,8851932221184,,,,50000
ຊີມອນຂຽວ 20ບາດ,8850424001631,,,,17000
7& ກັອກນ້ອຍ  5 ຊອງ,25243,,,,
8859169900308,8859169900308,,,,
big boom,8850425006581,,,,
big boom,8850425005614,,,,
big boom,8850425005607,,,,
BUB UP,8934677055136,,,,
chupachups,8850939905431,,,,
chy cushion matte,25631,,,,
eco cutton,8851072030417,,,,
ETL 100000 kip,25031,,,,
ETL 20000 kip,25027,,,,
ETL 50000 kip,25029,,,,
filter,8859497303963,,,,
firiz c lime,8855011004392,,,,
friz c grape,8859284600237,,,,
