barcode,name,qty,ton theun,rate,thb_price,product_price_convert
11994,?????????????????????? 12????,,,,,220000
8850157554022,?????????????????????? 3???,,,,,20000
26138,??????????? 10000 ???,,,,,10000
26142,??????????? 130000 ???,,,,,130000
26139,??????????? 15000 ???,,,,,15000
26140,??????????? 20000 ???,,,,,20000
26137,??????????? 5000 ???,,,,,5000
26141,??????????? 65000 ???,,,,,65000
899703317?0164,????? 65 ???,,,,,5000
8899703317?0164,????? 65??? 50 ???,,,,,250000
8938506010495,????????????? 80???,,,,,20000
24995,??? 15 ???,,,,,58000
6970874929629,?????????,,,,,17000
6974261290217,??????????,,,,,15000
8850250002079,?????????????????,,,,,5000
8850250002864,???????????????,,,,,5000
8850250172864,??????????????? 30  ???,,,,,640000
308850250172864,??????????????? 30 ??,,,,,115000
8850250000730,????????????????,,,,,5000
8850250006329,????????????????????,,,,,5000
8850250002994,??????????????,,,,,5000
10306,??????? 10???,,,,,43000
8801073113947,??????????????????????,,,,,21000
8801073142367,??????????????? 5???,,,,,95000
8801073115224,???????????????????????????,,,,,20000
8801073110502,???????????????????????????,,,,,21000
8801073140578,??????????????,,,,,91000
8801073113404,????????????????????????????,,,,,20000
8801073113893,????????????????????????????,,,,,21000
8801073142312,??????????????? 5???,,,,,95000
8801073115088,???????????????????????,,,,,20000
8801073143463,????????????????????????????? 5???,,,,,860000
8801073113312,???????????????????????????????,,,,,21000
001568,456,,,,,95000
8801073141780,??????????????????5???,,,,,95000
8801073114548,??????????????????????x3 ?????? 1???,,,,,20000
8801073142978,??????????????????????x3 ?????? 5???,,,,,86000
98801073141896,??????????????? 5 ???,,,,,95000
8801073113428,????????????????????????????,,,,,21000
8801073141896,???????????????????????????? 8????,,,,,630000
8853346301018,?????,,,,,4000
8853346589003,????? 12 ???,,,,,37000
8853346207051,????? 50 ???,,,,,37000
8854688000065,??????? 100???,,,,,42000
23678,??????? 100??? 12????,,,,,400000
12362,????????????? MRS,,,,,8000
12361,????????????? MRS12???,,,,,35000
6948832901352,?????????? aishu  12???,,,,,50000
6948832901352,?????????? aishu  12???,,,,,50000
6948832900447,???????????????? aishu  12???,,,,,80000
6948832900447,???????????????? aishu  12???,,,,,80000
6928456588887,?????????????????????? fad 12???,,,,,50000
6928456588887,?????????????????????? fad 12???,,,,,50000
12354,?????????????????????????????,,,,,9000
12353,????????????????????????????? 12???,,,,,50000
6948832911733,???????????????? aishu  12???,,,,,70000
6948832911733,???????????????? aishu  12???,,,,,70000
W52,?????????????? 1 ???? W 52,,,,,27000
W5220,?????????????? 20 ???? W 52,,,,,500000
w51,??????????????? 1 ???? W 51,,,,,28000
w5120,??????????????? 20 ???? W 51,,,,,510000
w53,??????????????? 1 ???? W 53,,,,,27000
w5320,??????????????? 20???? W 53,,,,,485000
15998,??????????? 1 ????,,,,,16000
15997,??????????? 50 ????,,,,,560000
00602,???????????????? 1 ????Al 602,,,,,21000
60220,???????????????? 20 ???? Al 602,,,,,380000
00601,????????????????? 1 ???? Al 601,,,,,22000
60120,????????????????? 20 ???? Al 601,,,,,390000
00603,????????????????? 1 ???? Al 603,,,,,21000
60320,????????????????? 20 ???? Al 603,,,,,370000
8806M,???????????????? 1 ???? UN8806M,,,,,16000
8806M20,???????????????? 20???? UN8806M,,,,,255000
8806s,????????????????? 1 ???? UN8806S,,,,,17000
8806s30,????????????????? 20???? UN8806S,,,,,290000
8806L,????????????????? 1 ???? UN8806L,,,,,16000
8806L20,????????????????? 20 ???? UN8806L,,,,,250000
15996,???????????????????????,,,,,15000
15995,??????????? 1 ????,,,,,30000
15994,??????????? 20 ????,,,,,410000
16004,??????????  1 ???? 984,,,,,13000
15967,?????????? 1 ???? JBF 113,,,,,18000
