barcode,name,qty,ton theun,rate,thb_price,product_price_convert
11994,ຫມາກພ້າວເມຈິກຟາມຝາຫມູນ 12ແພັກ,,,,,220000
8850157554022,ຫມາກພ້າວເມຈິກຟາມຝາຫມູນ 3ຊອງ,,,,,20000
26138,ໝາກເຜັດແຫ້ງ 10000 ກີບ,,,,,10000
26142,ໝາກເຜັດແຫ້ງ 130000 ກີບ,,,,,130000
26139,ໝາກເຜັດແຫ້ງ 15000 ກີບ,,,,,15000
26140,ໝາກເຜັດແຫ້ງ 20000 ກີບ,,,,,20000
26137,ໝາກເຜັດແຫ້ງ 5000 ກີບ,,,,,5000
26141,ໝາກເຜັດແຫ້ງ 65000 ກີບ,,,,,65000
899703317?0164,ໝາກໂມ 65 ກັມ,,,,,5000
8899703317?0164,ໝາກໂມ 65ກັມ 50 ໄມ້,,,,,250000
8938506010495,ຫມາກໄມ້ລວມອົບ 80ກັມ,,,,,20000
24995,ໝີ່ 15 ຫໍ່,,,,,58000
6970874929629,ໝີ່ກັບຟ້າ,,,,,17000
6974261290217,ໝີ່ງົວນ້ອຍ,,,,,15000
8850250002079,ຫມີ່ຍຳຍຳຊອງສຸກກີ້,,,,,5000
8850250002864,ຫມີ່ຍຳຍຳຊອງສົ້ມ,,,,,5000
8850250172864,ຫມີ່ຍຳຍຳຊອງສົ້ມ 30  ຫໍ່,,,,,640000
308850250172864,ຫມີ່ຍຳຍຳຊອງສົ້ມ 30 ຫໍ,,,,,115000
8850250000730,ຫມີ່ຍຳຍຳຊອງໝູສັບ,,,,,5000
8850250006329,ຫມີ່ຍຳຍຳຊອງໝໍ້ໄຟທະເລ,,,,,5000
8850250002994,ຫມີ່ຍຳຍຳຊອງແດງ,,,,,5000
10306,ຫມີ່ລວມ 10ຫໍ່,,,,,43000
8801073113947,ໝີ່ເກົາຫລີຊຳຊຳຍັງສີຂຽວ,,,,,21000
8801073142367,ໝີ່ເກົາຫລີສີຂຽວ 5ຫໍ່,,,,,95000
8801073115224,ໝີ່ເກົາຫລີຊຳຊຳຍັງສີດຳແບບຊອງ,,,,,20000
8801073110502,ໝີ່ເກົາຫລີຊຳຊຳຍັງສີດຳແບບຊອງ,,,,,21000
8801073140578,ໝີ່ເກົາຫລີສີດຳ,,,,,91000
