barcode,name,qty,ton theun,rate,thb_price,product_price_convert
6974324350377,ເສັ້ນເຝີມາລ່າຖັງ ລົດເຜັດ,,,,,17000
12153,ເຫລົ້າຕົ້ມ,,,,,8000
12152,ເຫລົ້າຕົ້ມ  10ຕຸກ,,,,,65000
8851932393850,ເອຊຽນດີໄລ ຖົ່ວລຽນ,,,,,13000
15906,ເອຊຽນດີໄລ ຖົ່ວລຽນ 24 ກັບ,,,,,292000
8851932459655,ເອຊຽນດີໄລ ມັດຊະຖົ່ວແດງ,,,,,12000
15902,ເອຊຽນດີໄລ ມັດຊະຖົ່ວແດງ 24 ກັບ,,,,,283000
8851932030656,ເອຊຽນດີໄລ ເຜຶອກ,,,,,12000
15904,ເອຊຽນດີໄລ ເຜຶອກ 24 ກັບ,,,,,283000
8850425008301,ເອວເຊມະພ້າວ,,,,,2000
8850425004969,ເອວເຊມະພ້າວ,,,,,2000
8850425004747,ເອວເຊມະພ້າວ,,,,,2000
8850425008318,ເອວເຊມະພ້າວ 24 ກ້ອນ,,,,,40000
8850425004754,ເອວເຊມະພ້າວ 24 ກ້ອນ,,,,,42000
8850425004976,ເອວເຊໝາກກ້ວຍ 24 ກ້ອນ,,,,,42000
8850425005034,ເອວເຊໃບເຕີຍ 24 ກ້ອນ,,,,,40000
8850820307306,ເອສບີສາຫລ່າຍ,,,,,5000
8850820307337,ເອສບີສາຫລ່າຍ 12 ຫໍ່,,,,,37000
8850820204537,ເອສບີສາຫລາ່າຍ 20ບາດ,,,,,17000
8851123766258,ເອັກຊິດ ຂາວຂຽວ 32.5 ມລ,,,,,25000
8851123761727,ເອັກຊິດ ຂາວຟ້າ 32.5 ມລ,,,,,25000
8858713500650,ເອັກເຊັນສີດຳ,,,,,23000
8858713500520,ເອັກເຊັນສີບົວ,,,,,23000
8858713500063,ເອັກເຊັນສີຟ້າອ່ອນ,,,,,23000
8850820204735,ເອັດບີດັ້ງເດີມ 20 ບາດ,,,,,15000
8850820204728,ເອັດບີດັ້ງເດີມ 20 ບາດ 3ຫໍ່,,,,,38000
8850943537536,ເອັນແລນເຈີນ,,,,,4000
8850943537543,ເອັນແລນເຈີນ 12  ຫໍ່,,,,,37000
